Geo Point;Geo Shape;site;annee_installation;zone_emission;disponibilite;adresse;commune
43.5988277824,1.4305555628;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430555562798499, 43.598827782417914]]}";Bibliothèque St cyprien;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);63 rue Réclusane;TOULOUSE
43.6034083304,1.44683333091;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446833330912421, 43.60340833036038]]}";Salle Osète - Duranti;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);8 rue du lieuteunant colone;TOULOUSE
43.6048249978,1.44422499769;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444224997693528, 43.604824997798]]}";Hotel de Ville - Capitol;2014.0;intérieur bâtiment;24h/24h (sans garantie de service);place du Capitole;TOULOUSE
43.5835444425,1.48359166667;"{""type"": ""MultiPoint"", ""coordinates"": [[1.483591666666266, 43.58354444245159]]}";Restaurant Senior La Ter;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);15 Impasse Franz SCHRADER;TOULOUSE
43.6085360006,1.44581899738;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445818997376646, 43.608536000607046]]}";Jeanne d'Arc;2017.0;extérieur;24h/24h (avec garantie de service);17 place Jeanne D'Arc;TOULOUSE
43.6402810015,1.45262399705;"{""type"": ""MultiPoint"", ""coordinates"": [[1.452623997046738, 43.64028100154952]]}";Maourine;2017.0;extérieur;24h/24h (avec garantie de service);Carré de la Maourine;TOULOUSE
43.6129699985,1.43505599737;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435055997367839, 43.612969998490875]]}";Gymnase Compans Cafarell;2017.0;intérieur bâtiment;24h/24h (sans garantie de service);Esplanade Compans Cafarelli;TOULOUSE
43.6063139973,1.4386060004;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438606000401955, 43.606313997341985]]}";Place Anatole France;2017.0;extérieur;24h/24h (avec garantie de service);Place Anatole France;TOULOUSE
43.5826110002,1.3888159985;"{""type"": ""MultiPoint"", ""coordinates"": [[1.388815998502664, 43.58261100022302]]}";Accueil Jeunes Bordeblan;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);rue Yves Rouquette;TOULOUSE
43.5891290004,1.37857700169;"{""type"": ""MultiPoint"", ""coordinates"": [[1.378577001692808, 43.58912900041169]]}";Mairie de quartier Larde;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);2 place sauvegrain;TOULOUSE
43.6023444424,1.44577499688;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445774996875663, 43.602344442350244]]}";Alsace 2;2015.0;extérieur;24h/24h (avec garantie de service);20 RUE D ALSACE LORRAINE;TOULOUSE
43.6414694426,1.45056110779;"{""type"": ""MultiPoint"", ""coordinates"": [[1.450561107788404, 43.64146944262074]]}";Métronum;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);RPT MADAME DE MONDONVILLE;TOULOUSE
43.6037361106,1.43996667136;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439966671360499, 43.603736110636824]]}";Musée des Jacobins;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);18 pl des JACOBINS;TOULOUSE
43.6111888884,1.45610277945;"{""type"": ""MultiPoint"", ""coordinates"": [[1.456102779453523, 43.611188888445966]]}";Marengo Boulevard;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);6 Rue René Leduc;TOULOUSE
43.570580558,1.40267499642;"{""type"": ""MultiPoint"", ""coordinates"": [[1.402674996424317, 43.570580558001986]]}";Mairie Reynerie;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);Place André ABBAL;TOULOUSE
43.6081260006,1.44098499887;"{""type"": ""MultiPoint"", ""coordinates"": [[1.440984998869344, 43.60812600058561]]}";Saint Sernin;2017.0;extérieur;24h/24h (avec garantie de service);Parvis St Jean Paul II;TOULOUSE
43.5976850002,1.44548900034;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44548900034115, 43.59768500018257]]}";Carmes;2017.0;extérieur;24h/24h (avec garantie de service);1 rue Théodore Ozenne;TOULOUSE
43.6059079999,1.44889699656;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448896996560099, 43.605907999875534]]}";Jaurès 2;2017.0;extérieur;24h/24h (avec garantie de service);Allée du Pdt F, Roosevelt;TOULOUSE
43.5959479985,1.43452200156;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434522001561991, 43.59594799852378]]}";Restaurant Senior St Cyp;2017.0;intérieur bâtiment;24h/24h (sans garantie de service);5 rue des Feuillants;TOULOUSE
43.5957939981,1.45585100146;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455851001456421, 43.59579399812333]]}";Port Saint Sauveur;2015.0;extérieur;24h/24h (sans garantie de service);7 port St Sauveur;TOULOUSE
43.5996019982,1.42961899872;"{""type"": ""MultiPoint"", ""coordinates"": [[1.429618998720787, 43.59960199821229]]}";Jardin Raymond VI;2017.0;extérieur;24h/24h (avec garantie de service);allées Charles de Fitte;TOULOUSE
43.6086320025,1.44443199926;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444431999258767, 43.60863200251205]]}";Centre culturel Bellegar;2018.0;intérieur et extér;24h/24h (sans garantie de service);17 rue Bellegarde;TOULOUSE
43.5776200009,1.44011599849;"{""type"": ""MultiPoint"", ""coordinates"": [[1.440115998488243, 43.577620000883876]]}";Mairie Empalot;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);Place d'EMPALOT;TOULOUSE
43.6008199999,1.42927799944;"{""type"": ""MultiPoint"", ""coordinates"": [[1.429277999437146, 43.60081999985564]]}";Musée des abbatoirs;2018.0;intérieur bâtiment;24h/24h (sans garantie de service);76 allées Charles de Fitte;TOULOUSE
43.6416810018,1.45338699909;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453386999088401, 43.64168100177197]]}";Maison municipale des fa;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);Boulevard André Netwiller;TOULOUSE
43.6017960002,1.4493889973;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44938899729555, 43.60179600019513]]}";Delpech;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);1 rue Delpech;TOULOUSE
43.5632709992,1.48810100191;"{""type"": ""MultiPoint"", ""coordinates"": [[1.488101001905701, 43.56327099915721]]}";B612 - centre de l'innov;2019.0;intérieur bâtiment;24h/24h (sans garantie de service);3 rue de Tarfaya;TOULOUSE
43.6037777793,1.43596388967;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435963889666544, 43.60377777930258]]}";Saint-Pierre 2;2015.0;extérieur;24h/24h (avec garantie de service);PL SAINT PIERRE;TOULOUSE
43.6017138913,1.43968888693;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439688886925529, 43.6017138913367]]}";Daurade;2015.0;extérieur;24h/24h (avec garantie de service);PL DE LA DAURADE;TOULOUSE
43.6045638892,1.44521667061;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445216670608743, 43.60456388922243]]}";Square de Gaulle;2015.0;extérieur;24h/24h (avec garantie de service);SQ GENERAL DE GAULLE;TOULOUSE
43.6046833283,1.44388056202;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443880562021809, 43.604683328262716]]}";Capitole 1;2015.0;extérieur;24h/24h (avec garantie de service);PL DU CAPITOLE;TOULOUSE
43.607916671,1.44578055665;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445780556651926, 43.6079166710318]]}";Alsace 3;2015.0;extérieur;24h/24h (avec garantie de service);56 RUE D ALSACE LORRAINE;TOULOUSE
43.6101833299,1.45585277718;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455852777179197, 43.61018332994428]]}";Médiathèque José Cabanis;2015.0;intérieur bâtiment;24h/24h (sans garantie de service);1 ALL JACQUES CHABAN DELMAS;TOULOUSE
43.6005010026,1.44565399822;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445653998221392, 43.600501002569416]]}";Esquirol/Rue de Metz;2016.0;extérieur;24h/24h (avec garantie de service);30 RUE DE METZ;TOULOUSE
43.5929839999,1.43514699838;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435146998379813, 43.59298399987385]]}";Cours Dillon 1;2016.0;extérieur;24h/24h (avec garantie de service);cours dillon;TOULOUSE
43.5999055606,1.45425277875;"{""type"": ""MultiPoint"", ""coordinates"": [[1.454252778745022, 43.59990556059378]]}";Halle aux grains;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);place Dupuy;TOULOUSE
43.5788388879,1.44183610945;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441836109454029, 43.578838887931994]]}";Médiathèque Empalot;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);40 Avenue Jean Moulin;TOULOUSE
43.567358332,1.4006000034;"{""type"": ""MultiPoint"", ""coordinates"": [[1.400600003399424, 43.56735833202815]]}";Bibliothèque Grand M;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);37 av Reynerie;TOULOUSE
43.6010361122,1.44632499879;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446324998792896, 43.60103611222348]]}";Musée des Augustins;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);21 rue de Metz;TOULOUSE
43.597005558,1.44325832783;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443258327828011, 43.5970055580071]]}";Bibliothèque Fabre;2016.0;intérieur bâtiment;24h/24h (sans garantie de service);6 rue St Jean;TOULOUSE
